avg_review,brand,n_review,price,product,product_url
3.80 out of 5 stars,Vichy,"
									 (11","
						$8.50",Aqualia Thermal Crème,/aqualia-thermal-creme?productId=xlsImpprod19011123
4.80 out of 5 stars,L'Occitane,"
									 (32","
						$24.00",Aqua Réotier Moisture Prep Essence,/aqua-reotier-moisture-prep-essence?productId=pimprod2016164
4.50 out of 5 stars,Baxter of California,"
									 (10","
						$32.00",Oil Free Moisturizer SPF 15,/oil-free-moisturizer-spf-15?productId=xlsImpprod18591011
5.00 out of 5 stars,Pacifica,"
									 (6","
						$24.00",Wake Up Beautiful Overnight Retinoid Cream,/wake-up-beautiful-overnight-retinoid-cream?productId=pimprod2021669
2.30 out of 5 stars,Awake Beauty,"
									 (3","
						$14.00",Travel Size Sweet Hydration Moisturizer,/travel-size-sweet-hydration-moisturizer?productId=pimprod2009713
5.00 out of 5 stars,Makeup Revolution,"
									 (1","
						$14.00",Niacinamide Mattifying Moisture Cream,/niacinamide-mattifying-moisture-cream?productId=pimprod2021709
3.70 out of 5 stars,Formula 10.0.6,"
									 (6","
						$15.00",Daily Shield Vitamin C Broad Spectrum SPF 20 Moisturizer,/daily-shield-vitamin-c-broad-spectrum-spf-20-moisturizer?productId=pimprod2012545
3.90 out of 5 stars,Follain,"
									 (9","
						$28.00",Mattifying Moisturizer: Oil Control,/mattifying-moisturizer-oil-control?productId=pimprod2017182
4.50 out of 5 stars,Indeed Labs,"
									 (29","
						$24.99",Hydraluron Intense Moisture Lotion,/hydraluron-intense-moisture-lotion?productId=pimprod2006511
5.00 out of 5 stars,Urban Hydration,"
									 (1","
						$11.99",Castor & Shea Daily Lotion,/castor-shea-daily-lotion?productId=pimprod2016277
4.10 out of 5 stars,Formula 10.0.6,"
									 (29","
						$3.99",Travel Size Thirst No More,/travel-size-thirst-no-more?productId=xlsImpprod19011133
3.50 out of 5 stars,Pixi,"
									 (2","
						$24.00",Vitamin-C Lotion,/vitamin-c-lotion?productId=pimprod2013456
3.00 out of 5 stars,Every Man Jack,"
									 (2","
						$8.49",Mattifying Face Lotion Oil Defense,/mattifying-face-lotion-oil-defense?productId=xlsImpprod17071333
4.50 out of 5 stars,No7,"
									 (230","
						$13.50",Travel Size Lift & Luminate Triple Action Day Cream SPF 30,/travel-size-lift-luminate-triple-action-day-cream-spf-30?productId=pimprod2017059
Price,Makeup Revolution,,"
						$14.00",Vitamin C Moisturiser,
4.80 out of 5 stars,SNP,"
									 (4","
						$12.00",Prep Peptaronic Tone Up Cream,/prep-peptaronic-tone-up-cream?productId=pimprod2016334
3.50 out of 5 stars,frank body,"
									 (2","
						$24.97",Sweet Cheeks Kit,/sweet-cheeks-kit?productId=pimprod2014527
5.00 out of 5 stars,florence by mills,"
									 (3","
						$10.00",Travel Size Dreamy Dew Moisturizer,/travel-size-dreamy-dew-moisturizer?productId=pimprod2021351
5.00 out of 5 stars,Duke Cannon Supply Co,"
									 (2","
						$4.99",Travel Size Standard Issue Face Lotion,/travel-size-standard-issue-face-lotion?productId=pimprod2002336
Price,Makeup Revolution,,"
						$12.00",Superdewy Multi Purpose Balm,
Price,M. Skin Care,,"
						$12.99",Daily Defense Moisturizer,
4.60 out of 5 stars,Klorane,"
									 (64","
						$30.00",Cornflower Water Cream,/cornflower-water-cream?productId=pimprod2018714
4.50 out of 5 stars,THE ROUTE,"
									 (6","
						$90.00",The Everything Day - Skin Rhythm Multi-Tasker,/everything-day-skin-rhythm-multi-tasker?productId=pimprod2011281
Price,Erborian,,"
						$24.00",Travel Size CC Dull Correct,
5.00 out of 5 stars,Erborian,"
									 (1","
						$48.00",Yuza Sorbet Day Cream,/yuza-sorbet-day-cream?productId=pimprod2017860
3.00 out of 5 stars,Indeed Labs,"
									 (1","
						$24.99",me-NO-pause Restorative Cream,/me-no-pause-restorative-cream?productId=pimprod2017433
4.10 out of 5 stars,Erborian,"
									 (10","
						$44.00",CC Dull Correct,/cc-dull-correct?productId=pimprod2009086
2.30 out of 5 stars,L'Occitane,"
									 (3","
						$30.00",Aqua Réotier Ultra Thirst-Quenching Gel,/aqua-reotier-ultra-thirst-quenching-gel?productId=pimprod2016160
Price,COOLA,,"
						$46.00",Refreshing Water Cream SPF 50,
3.80 out of 5 stars,SNP,"
									 (5","
						$12.00",Peptaronic Cream,/peptaronic-cream?productId=pimprod2016332
4.00 out of 5 stars,Pixi,"
									 (1","
						$24.00",Clarity Lotion,/clarity-lotion?productId=pimprod2021691
3.50 out of 5 stars,Anthony,"
									 (2","
						$24.47",High Performance Vitamin A Facial Treatment,/high-performance-vitamin-a-facial-treatment?productId=xlsImpprod18471029
2.60 out of 5 stars,Pixi,"
									 (5","
						$24.00",Retinol Jasmine Lotion,/retinol-jasmine-lotion?productId=pimprod2013451
3.30 out of 5 stars,Heritage Store,"
									 (8","
						$18.99",Hydrating Rose Aura Glow Gel Cream,/hydrating-rose-aura-glow-gel-cream?productId=pimprod2015058
4.40 out of 5 stars,No7,"
									 (236","
						$12.50",Travel Size Protect & Perfect Intense Advanced Day Cream,/travel-size-protect-perfect-intense-advanced-day-cream?productId=pimprod2017058
Price,SNP,,"
						$16.00",Prep Cicaronic Soothing Cream,
5.00 out of 5 stars,EVE LOM,"
									 (2","
						$115.00",Moisture Cream,/moisture-cream?productId=pimprod2009111
1.00 out of 5 stars,Maelys Cosmetics,"
									 (1","
						$29.00",Silk Enriched Face Cream,/silk-enriched-face-cream?productId=pimprod2012787
4.70 out of 5 stars,Lancôme,"
									 (94","
						$52.00",Bienfait Aqua Vital Lotion Continuous Infusing Moisturizer,/bienfait-aqua-vital-lotion-continuous-infusing-moisturizer?productId=xlsImpprod3650022
3.60 out of 5 stars,Clarisma,"
									 (19","
						$16.99",Cali Dreaming Cream Daily Moisturizer,/cali-dreaming-cream-daily-moisturizer?productId=pimprod2012810
Price,I Dew Care,,"
						$23.00",Chill Kitten 24-Hr Moisturizing Cactus Oil-free Cream,
3.50 out of 5 stars,ARCONA,"
									 (6","
						$46.00",Magic White Ice,/magic-white-ice?productId=pimprod2007143
3.30 out of 5 stars,Heritage Store,"
									 (4","
						$18.99",Brightening Citrus Aura Glow Gel Cream,/brightening-citrus-aura-glow-gel-cream?productId=pimprod2015059
4.50 out of 5 stars,My Clarins,"
									 (479","
						$16.00",Travel Size Re-Boost Refreshing Hydrating Cream,/travel-size-re-boost-refreshing-hydrating-cream?productId=pimprod2019928
4.20 out of 5 stars,ACURE,"
									 (63","
						$18.99",Seriously Soothing Cloud Cream,/seriously-soothing-cloud-cream?productId=pimprod2021229
1.00 out of 5 stars,Heritage Store,"
									 (1","
						$18.99",Balancing CBD Aura Glow Gel Cream,/balancing-cbd-aura-glow-gel-cream?productId=pimprod2015062
Price,Formula 10.0.6,,"
						$15.00",Core Restore Vitamin E Deeply Replenishing Face + Neck Cream,
Price,Formula 10.0.6,,"
						$8.99",Feel So Soft Oil Free Moisturizer,
Price,Yes to,,"
						$12.99",Avocado Fragrance Free Daily Mineral Lotion SPF 15,
Price,Botanics,,"
						$17.99",Revive & Protect Postbiotic Moisturizer,
Price,ArtNaturals LUXE,,"
						$16.99",Brightening Cream,
4.70 out of 5 stars,Elizabeth Arden,"
									 (139","
						$42.00",Great 8 Daily Defense Moisturizer SPF 35,/great-8-daily-defense-moisturizer-spf-35?productId=pimprod2006702
Price,Sun + Moon,,"
						$18.99",Seas The Day Facial Moisturizer,
5.00 out of 5 stars,It Cosmetics,"
									 (10","
						$52.00",Limited Edition Color Awakening Skin & Lip Duo,/limited-edition-color-awakening-skin-lip-duo?productId=pimprod2014629
3.40 out of 5 stars,Origins,"
									 (88","
						$47.00",A Perfect World Antioxidant Moisturizer with White Tea,/a-perfect-world-antioxidant-moisturizer-with-white-tea?productId=xlsImpprod15911081
4.60 out of 5 stars,La Roche-Posay,"
									 (103","
						$49.99",Pure Vitamin C Face Cream,/pure-vitamin-c-face-cream?productId=pimprod2019700
4.70 out of 5 stars,bioClarity,"
									 (15","
						$21.95",Primed & Ready 2-in-1 Moisturizer and Primer,/primed-ready-2-in-1-moisturizer-primer?productId=pimprod2022361
5.00 out of 5 stars,Ahava,"
									 (2","
						$99.00",Apple Of Sodom Advanced Deep Wrinkle Cream,/apple-of-sodom-advanced-deep-wrinkle-cream?productId=pimprod2010023
4.70 out of 5 stars,boscia,"
									 (27","
						$40.00",Revitalizing Black Charcoal Hydration Gel,/revitalizing-black-charcoal-hydration-gel?productId=xlsImpprod18751547
4.50 out of 5 stars,Clinique,"
									 (332","
						$5.50",Travel Size Dramatically Different Oil-Free Gel,/travel-size-dramatically-different-oil-free-gel?productId=xlsImpprod12481039
4.40 out of 5 stars,YourGoodSkin,"
									 (17","
						$12.99",SPF 30 Anti-Oxidant Day Cream,/spf-30-anti-oxidant-day-cream?productId=xlsImpprod18751405
5.00 out of 5 stars,Cetaphil,"
									 (3","
						$8.99",Soothing Gel Cream,/soothing-gel-cream?productId=pimprod2017836
4.50 out of 5 stars,Clarins,"
									 (30","
						$49.00",Hydra-Essentiel Rich Cream,/hydra-essentiel-rich-cream?productId=xlsImpprod15571109
3.30 out of 5 stars,ACURE,"
									 (102","
						$18.99",Seriously Soothing SPF 30 Day Cream,/seriously-soothing-spf-30-day-cream?productId=pimprod2006229
4.30 out of 5 stars,First Aid Beauty,"
									 (3","
						$16.00",Travel Size Ultra Repair Cream Cranberry Pomegranate,/travel-size-ultra-repair-cream-cranberry-pomegranate?productId=pimprod2015927
4.50 out of 5 stars,Everyday Humans,"
									 (50","
						$24.00",Resting Beach Face SPF30 Sunscreen Serum,/resting-beach-face-spf30-sunscreen-serum?productId=pimprod2017378
4.80 out of 5 stars,ArtNaturals LUXE,"
									 (98","
						$18.99",Scent Free Moisturizer,/scent-free-moisturizer?productId=pimprod2012699
4.30 out of 5 stars,Mario Badescu,"
									 (58","
						$24.00",The Moisture Magnet SPF 15,/moisture-magnet-spf-15?productId=xlsImpprod6200795
4.50 out of 5 stars,Vichy,"
									 (62","
						$31.00",Aqualia Thermal Water Gel Face Moisturizer,/aqualia-thermal-water-gel-face-moisturizer?productId=pimprod2004933
4.50 out of 5 stars,Pacifica,"
									 (217","
						$16.00",Kale Luxe Oil-Free Cream,/kale-luxe-oil-free-cream?productId=xlsImpprod14471163
3.30 out of 5 stars,Aveeno,"
									 (16","
						$18.99",Clear Complexion Sheer Daily Moisturizer SPF 30,/clear-complexion-sheer-daily-moisturizer-spf-30?productId=pimprod2009338
0.00 out of 5 stars,Peter Thomas Roth,,"
						$28.00",Day & Night Moisture Must-Haves Kit,/day-night-moisture-must-haves-kit?productId=pimprod2022181
4.80 out of 5 stars,Honest Beauty,"
									 (12","
						$60.00",Sleep Bright Kit,/sleep-bright-kit?productId=pimprod2019848
4.20 out of 5 stars,Clinique,"
									 (5","
						$114.00",Clinique Smart Clinical De-aging Duo,/clinique-smart-clinical-de-aging-duo?productId=pimprod2020498
4.20 out of 5 stars,I Dew Care,"
									 (571","
						$23.00",Say You Dew Moisturizing Vitamin C Gel + Cream,/say-you-dew-moisturizing-vitamin-c-gel-cream?productId=pimprod2006844
4.30 out of 5 stars,Vichy,"
									 (57","
						$45.00",LiftActiv Retinol HA Anti-Wrinkle Concentrate Serum,/liftactiv-retinol-ha-anti-wrinkle-concentrate-serum?productId=pimprod2004932
4.30 out of 5 stars,Tarte,"
									 (45","
						$19.00","Sugar Rush - Don't Hate, Hydrate Oil Free Moisturizer",/sugar-rush-dont-hate-hydrate-oil-free-moisturizer?productId=pimprod2004314
3.80 out of 5 stars,Lancôme,"
									 (96","
						$43.00",Bienfait Multi-Vital Eye Sunscreen Broad Spectrum SPF 30,/bienfait-multi-vital-eye-sunscreen-broad-spectrum-spf-30?productId=xlsImpprod3650026
5.00 out of 5 stars,Fifth & Root,"
									 (3","
						$48.00",Salvation All-Over CBD Salve,/salvation-all-over-cbd-salve?productId=pimprod2017696
4.00 out of 5 stars,Clarins,"
									 (7","
						$88.00",Extra-Firming Wrinkle Control Firming Day Rich Cream For Dry Skin,/extra-firming-wrinkle-control-firming-day-rich-cream-dry-skin?productId=xlsImpprod17491015
4.30 out of 5 stars,Mario Badescu,"
									 (99","
						$25.00",Honey Moisturizer,/honey-moisturizer?productId=xlsImpprod6200719
4.00 out of 5 stars,ACURE,"
									 (44","
						$16.99",Incredibly Clear Mattifying Moisturizer,/incredibly-clear-mattifying-moisturizer?productId=pimprod2011693
4.00 out of 5 stars,Bliss,"
									 (168","
						$22.00",What a Melon Water Jelly Hydrator for Combination Skin,/what-a-melon-water-jelly-hydrator-combination-skin?productId=pimprod2007771
4.20 out of 5 stars,Juice Beauty,"
									 (252","
						$52.00",Prebiotix Hydrating Gel Moisturizer,/prebiotix-hydrating-gel-moisturizer?productId=pimprod2002001
4.70 out of 5 stars,boscia,"
									 (26","
						$38.00",Chia Seed Moisture Cream,/chia-seed-moisture-cream?productId=pimprod2012540
4.90 out of 5 stars,Avène,"
									 (62","
						$30.00",Moisturizing Melt-In Balm,/moisturizing-melt-in-balm?productId=pimprod2020812
4.50 out of 5 stars,First Aid Beauty,"
									 (94","
						$16.00",Travel Size Ultra Repair Cream Pink Grapefruit,/travel-size-ultra-repair-cream-pink-grapefruit?productId=xlsImpprod16461059
4.80 out of 5 stars,Avène,"
									 (52","
						$42.00",TriXera Nutrition Nutri-Fluid Balm,/trixera-nutrition-nutri-fluid-balm?productId=pimprod2020820
3.90 out of 5 stars,Dermalogica,"
									 (9","
						$19.00",Travel Size Prisma Protect SPF 30,/travel-size-prisma-protect-spf-30?productId=pimprod2004269
4.60 out of 5 stars,Perricone MD,"
									 (461","
						$69.00",Hypoallergenic CBD Sensitive Skin Therapy Nourishing & Calming Moisturizer,/hypoallergenic-cbd-sensitive-skin-therapy-nourishing-calming-moisturizer?productId=pimprod2017618
3.50 out of 5 stars,Truly,"
									 (49","
						$28.00",Cream Skin Facial Moisturizer,/cream-skin-facial-moisturizer?productId=pimprod2002185
5.00 out of 5 stars,Duke Cannon Supply Co,"
									 (1","
						$12.50",Standard Issue Face Lotion,/standard-issue-face-lotion?productId=pimprod2002330
4.30 out of 5 stars,Tarte,"
									 (19","
						$14.00",Travel Size Baba Bomb Moisturizer,/travel-size-baba-bomb-moisturizer?productId=pimprod2007203
3.80 out of 5 stars,Kiehl's Since 1851,"
									 (56","
						$65.00",Pure Vitality Skin Renewing Cream,/pure-vitality-skin-renewing-cream?productId=pimprod2008783
5.00 out of 5 stars,SAND & SKY,"
									 (1","
						$50.00",Tasmanian Spring Water - Hydration Boost Cream,/tasmanian-spring-water-hydration-boost-cream?productId=pimprod2018162
4.00 out of 5 stars,INDIE LEE,"
									 (59","
						$48.00",Active Oil-Free Moisturizer,/active-oil-free-moisturizer?productId=pimprod2014418
4.50 out of 5 stars,Everyday Humans,"
									 (26","
						$9.00",Bomb Diggity Wonder Salve,/bomb-diggity-wonder-salve?productId=pimprod2017295
3.40 out of 5 stars,Thayers,"
									 (12","
						$14.99",Witch Hazel Blemish Clearing Balm,/witch-hazel-blemish-clearing-balm?productId=pimprod2012156
3.00 out of 5 stars,Estée Lauder,"
									 (2","
						$27.00",Travel Size Revitalizing Supreme+ Global Anti-Aging Cell Power Creme,/travel-size-revitalizing-supreme-global-anti-aging-cell-power-creme?productId=pimprod2017847
4.50 out of 5 stars,Mario Badescu,"
									 (127","
						$20.00",A.H.A. & Ceramide Moisturizer,/aha-ceramide-moisturizer?productId=xlsImpprod6200699
4.70 out of 5 stars,Ahava,"
									 (66","
						$46.00",Essential Day Moisturizer Combination,/essential-day-moisturizer-combination?productId=xlsImpprod3230207
4.00 out of 5 stars,Ahava,"
									 (36","
						$75.00",Extreme Day Cream,/extreme-day-cream?productId=xlsImpprod3560171
4.40 out of 5 stars,ELEMIS,"
									 (3578","
						$45.00",Superfood Day Cream,/superfood-day-cream?productId=xlsImpprod18731131
Price,PEACH & LILY,,"
						$23.00",Travel Size Glass Skin Water-Gel Moisturizer,
5.00 out of 5 stars,Avène,"
									 (24","
						$36.00",RICH Revitalizing Nourishing Cream,/rich-revitalizing-nourishing-cream?productId=pimprod2020818
3.60 out of 5 stars,L'Oréal,"
									 (5","
						$17.99",Revitalift Anti-Aging Face & Neck Cream Fragrance-Free,/revitalift-anti-aging-face-neck-cream-fragrance-free?productId=pimprod2009095
4.40 out of 5 stars,Indeed Labs,"
									 (39","
						$19.99",Nanoblur Cream,/nanoblur-cream?productId=pimprod2006515
4.20 out of 5 stars,Belli,"
									 (9","
						$32.00",Healthy Glow Facial Hydrator,/healthy-glow-facial-hydrator?productId=xlsImpprod6480370
4.50 out of 5 stars,Hempz,"
									 (17","
						$12.00",Travel Size CBD Thirsty Hydrating Facial Moisturizer 30,/travel-size-cbd-thirsty-hydrating-facial-moisturizer-30?productId=pimprod2011911
4.80 out of 5 stars,Formula 10.0.6,"
									 (16","
						$15.00",Hold Tight Vitamin B Smoothing Daily Primer,/hold-tight-vitamin-b-smoothing-daily-primer?productId=pimprod2012539
0.00 out of 5 stars,Tarte,,"
						$14.00",Travel Size Knockout Brightening Gel Moisturizer,/travel-size-knockout-brightening-gel-moisturizer?productId=pimprod2016728
4.80 out of 5 stars,INDIE LEE,"
									 (23","
						$80.00",Daily Skin Nutrition,/daily-skin-nutrition?productId=pimprod2014427
5.00 out of 5 stars,Avène,"
									 (21","
						$23.00",CleananceHYDRA Soothing Cream,/cleanancehydra-soothing-cream?productId=pimprod2020800
4.40 out of 5 stars,My Clarins,"
									 (643","
						$26.00",RE-BOOST Matifying Hydrating Cream,/re-boost-matifying-hydrating-cream?productId=pimprod2003552
4.70 out of 5 stars,Alpha Skin Care,"
									 (55","
						$17.99",Enhanced Renewal Cream,/enhanced-renewal-cream?productId=xlsImpprod13762027
3.90 out of 5 stars,Origins,"
									 (24","
						$32.00",GinZing Glow-Boosting Gel Moisturizer,/ginzing-glow-boosting-gel-moisturizer?productId=pimprod2015697
4.20 out of 5 stars,NUDESTIX,"
									 (5","
						$38.00",NUDESKIN Citrus-C Mask & Daily Moisturizer,/nudeskin-citrus-c-mask-daily-moisturizer?productId=pimprod2019568
3.50 out of 5 stars,Mario Badescu,"
									 (98","
						$18.00",Control Moisturizer for Oily Skin,/control-moisturizer-oily-skin?productId=xlsImpprod6200709
3.60 out of 5 stars,Kiehl's Since 1851,"
									 (38","
						$44.00",Centella Sensitive Cica-Cream,/centella-sensitive-cica-cream?productId=pimprod2002962
4.70 out of 5 stars,Lano,"
									 (30","
						$24.00","Face Base Vitamin E Day Cream - Natural, pH-Balanced, & Dermatologically Tested",/face-base-vitamin-e-day-cream-natural-ph-balanced-dermatologically-tested?productId=pimprod2004617
4.00 out of 5 stars,L'Oréal,"
									 (3","
						$11.49",Fragrance Free Collagen Moisture Filler Daily Moisturizer,/fragrance-free-collagen-moisture-filler-daily-moisturizer?productId=pimprod2017419
3.50 out of 5 stars,Heritage Store,"
									 (4","
						$4.75",Clarifying Lemon Aura Glow Gel Cream,/clarifying-lemon-aura-glow-gel-cream?productId=pimprod2015060
4.40 out of 5 stars,American Crew,"
									 (8","
						$18.00",All-In-One Face Balm Broad Spectrum SPF 15,/all-in-one-face-balm-broad-spectrum-spf-15?productId=xlsImpprod15911043
4.00 out of 5 stars,Differin,"
									 (7","
						$8.99",Soothing Moisturizer,/soothing-moisturizer?productId=xlsImpprod15791009
4.30 out of 5 stars,Philosophy,"
									 (31","
						$22.00",Purity Hydra-Essence,/purity-hydra-essence?productId=pimprod2003499
3.90 out of 5 stars,Physicians Formula,"
									 (49","
						$16.99",Rosé All Day Moisturizer SPF 30,/rose-all-day-moisturizer-spf-30?productId=pimprod2008991
5.00 out of 5 stars,Keys Soulcare,"
									 (1","
						$30.00",Skin Transformation Cream Fragrance Free,/skin-transformation-cream-fragrance-free?productId=pimprod2021928
4.20 out of 5 stars,Mario Badescu,"
									 (52"," 
							$15.00",Aloe Lotion,/aloe-lotion?productId=xlsImpprod6200783
4.70 out of 5 stars,Peach Slices,"
									 (36","
						$11.99",Starlit Glow Highlighting Moisturizer,/starlit-glow-highlighting-moisturizer?productId=pimprod2016356
4.30 out of 5 stars,Physicians Formula,"
									 (29","
						$16.99",24-Karat Gold Collagen Moisturizer,/24-karat-gold-collagen-moisturizer?productId=pimprod2013336
Price,Vichy,,"
						$29.50",Normaderm PhytoAction Acne Control Daily Face Moisturizer,
4.70 out of 5 stars,SKIN&CO,"
									 (47","
						$68.00",Truffle Therapy Cream,/truffle-therapy-cream?productId=xlsImpprod15981113
